sample_id,total_units,reserved_units,share_percent,current_construction_cost,construction_cost_growth,next_year_estimated_construction_cost,required_next_year_amount,total_scheduled_amount,total_due_amount,total_paid_amount,unpaid_amount,due_unpaid_amount,payment_completion_ratio,due_payment_completion_ratio,unpaid_amount_ratio,due_unpaid_amount_ratio,total_payments,paid_on_time_count,paid_late_count,unpaid_count,overdue_count,average_delay_days,max_delay_days,general_inflation_rate,usd_growth,risk_score,risk_label
1,30,1,3.3333,120000000000.0,61.1632,193395780768.53,537210502.13,718493586.55,607158721.7,543162410.58,175331175.97,63996311.12,0.756,0.8946,0.244,0.1054,6,4,1,1,0,16.64,26,32.1438,71.9082,27.8183,low
2,30,1,3.3333,220000000000.0,64.9858,362968812823.7,1008246702.29,2629622605.71,2247650470.34,2013366670.46,616255935.26,234283799.88,0.7656,0.8958,0.2344,0.1042,12,9,1,2,0,3.68,17,54.9638,100.1381,22.0308,low
3,24,1,4.1667,90000000000.0,37.3246,123592157316.41,429139435.13,1016061506.1,761155828.12,620832669.51,395228836.59,140323158.61,0.611,0.8156,0.389,0.1844,9,3,3,2,1,22.16,36,43.3715,86.8287,46.2764,medium
4,48,1,2.0833,90000000000.0,47.676,132908367389.04,230743693.38,823037621.68,678374611.5,630536810.67,192500811.0,47837800.82,0.7661,0.9295,0.2339,0.0705,14,8,4,2,0,12.15,26,33.6444,15.0,26.6846,low
5,36,1,2.7778,300000000000.0,34.452,403356009632.45,933694466.74,1504274087.79,968930270.98,868716256.65,635557831.14,100214014.33,0.5775,0.8966,0.4225,0.1034,6,4,0,2,0,1.16,1,27.8395,80.6495,34.3516,low
6,16,1,6.25,90000000000.0,50.0593,135053400217.9,703403126.13,2501580099.5,2051907579.44,1981970375.66,519609723.84,69937203.78,0.7923,0.9659,0.2077,0.0341,11,9,0,2,0,0.57,1,67.4315,106.6413,9.0,low
7,20,1,5.0,160000000000.0,49.4184,239069485362.66,996122855.68,2424923638.85,1964484539.24,1865141959.92,559781678.93,99342579.31,0.7692,0.9494,0.2308,0.0506,10,5,3,2,0,17.51,35,37.0517,75.2862,29.8899,low
8,24,1,4.1667,300000000000.0,57.4475,472342468826.91,1640078016.76,4242504892.22,3799609871.07,3316787703.68,925717188.54,482822167.39,0.7818,0.8729,0.2182,0.1271,9,6,2,1,0,2.64,9,57.6806,98.3469,23.191,low
9,12,1,8.3333,90000000000.0,67.526,150773411176.97,1047037577.62,1544705613.77,1040960086.89,881265257.8,663440355.96,159694829.09,0.5705,0.8466,0.4295,0.1534,6,4,0,2,0,0.85,1,46.8405,120.1516,29.5244,low
10,24,1,4.1667,120000000000.0,50.7327,180879210301.74,628052813.55,1663569009.6,1632456428.16,1542187319.66,121381689.94,90269108.5,0.927,0.9447,0.073,0.0553,10,9,1,0,0,1.26,4,55.2557,163.0165,9.0167,low
11,20,1,5.0,120000000000.0,39.9193,167903151595.28,699596464.98,2165499115.77,2066294825.15,390277253.02,1775221862.75,1676017572.13,0.1802,0.1889,0.8198,0.8111,13,2,3,1,7,54.15,77,41.7332,59.2138,100.0,high
12,30,1,3.3333,120000000000.0,42.7872,171344637619.28,475957326.72,1632945206.19,1235766091.83,891424592.36,741520613.82,344341499.47,0.5459,0.7214,0.4541,0.2786,14,6,3,3,2,25.29,64,32.9134,81.1179,57.642,medium
13,30,1,3.3333,90000000000.0,76.7207,159048657258.8,441801825.72,833213800.45,744299459.1,711850295.97,121363504.47,32449163.13,0.8543,0.9564,0.1457,0.0436,10,8,1,1,0,1.19,3,44.6599,81.4621,9.0,low
14,24,1,4.1667,120000000000.0,24.7219,149666311141.47,519674691.46,1396781380.55,1278476748.45,1185186836.2,211594544.35,93289912.26,0.8485,0.927,0.1515,0.073,10,8,1,1,0,2.94,12,54.8042,163.7793,23.6824,low
15,48,1,2.0833,160000000000.0,24.9814,199970201405.47,347170488.55,721871593.43,615387115.03,512708000.4,209163593.02,102679114.63,0.7102,0.8331,0.2898,0.1669,7,5,1,1,0,2.57,16,37.7968,36.4171,26.3948,low
16,36,1,2.7778,90000000000.0,56.5825,140924218259.61,326213468.19,849308519.92,696488013.91,414941069.44,434367450.47,281546944.47,0.4886,0.5958,0.5114,0.4042,10,1,3,2,4,45.71,62,55.7856,123.0967,87.8643,high
17,48,1,2.0833,70000000000.0,60.8836,112618549137.88,195518314.48,673838581.51,538353225.3,491394293.01,182444288.49,46958932.28,0.7292,0.9128,0.2708,0.0872,11,6,3,2,0,9.99,24,51.4687,128.7735,31.1342,low
18,16,1,6.25,160000000000.0,22.2085,195533566114.98,1018403990.18,3369330406.32,3117205705.42,1867143994.28,1502186412.04,1250061711.14,0.5542,0.599,0.4458,0.401,12,5,4,1,2,21.03,55,58.7517,121.0189,61.4376,medium
19,30,1,3.3333,160000000000.0,68.8829,270212698002.45,750590827.78,1256470291.96,1041931070.77,922762164.75,333708127.21,119168906.01,0.7344,0.8856,0.2656,0.1144,7,5,1,1,0,5.78,14,24.2937,105.0335,26.5812,low
20,30,1,3.3333,120000000000.0,48.9631,178755677248.29,496543547.91,1392330963.16,1252756481.43,1221958990.27,170371972.89,30797491.16,0.8776,0.9754,0.1224,0.0246,11,9,1,1,0,4.96,8,58.7084,104.1024,9.0,low
21,30,1,3.3333,300000000000.0,66.5659,499697656401.27,1388049045.56,2321348065.98,1954970421.46,1723367932.95,597980133.03,231602488.52,0.7424,0.8815,0.2576,0.1185,6,4,1,1,0,5.91,16,44.1362,80.6664,24.9873,low
22,24,1,4.1667,220000000000.0,48.3564,326383989515.74,1133277741.37,4833756936.74,4657827392.63,4428432781.58,405324155.17,229394611.06,0.9161,0.9508,0.0839,0.0492,16,14,1,1,0,4.12,8,40.0842,111.0456,9.0,low
23,24,1,4.1667,300000000000.0,35.774,407322137432.35,1414312977.2,3275704552.53,2867950824.81,2898870004.67,376834547.87,0.0,0.885,1.0,0.115,0.0,8,7,0,1,0,0.5,3,45.1172,119.1684,9.0,low
24,48,1,2.0833,160000000000.0,74.9018,279842931990.9,485838423.6,1588905178.22,1358860999.48,1086902588.52,502002589.7,271958410.95,0.6841,0.7999,0.3159,0.2001,15,7,6,2,0,21.22,24,40.0055,127.2913,46.428,medium
25,20,1,5.0,90000000000.0,27.3367,114602995767.14,477512482.36,1954537774.8,1862199742.61,1541280200.42,413257574.38,320919542.19,0.7886,0.8277,0.2114,0.1723,12,7,3,1,1,21.09,29,35.7377,35.2354,37.9373,medium
26,36,1,2.7778,160000000000.0,90.2735,304437588273.95,704716639.52,1906371046.23,1510942357.51,384119127.38,1522251918.85,1126823230.13,0.2015,0.2542,0.7985,0.7458,14,0,3,3,8,104.8,172,25.2793,87.3711,100.0,high
27,60,1,1.6667,90000000000.0,35.276,121748431218.52,169095043.36,656575894.12,601145606.58,519195341.33,137380552.79,81950265.25,0.7908,0.8637,0.2092,0.1363,14,10,2,1,1,9.02,11,52.9933,59.9863,30.2731,low
28,48,1,2.0833,70000000000.0,82.3057,127613986341.44,221552059.62,335761395.77,236155007.08,244590312.31,91171083.46,0.0,0.7285,1.0,0.2715,0.0,7,5,0,2,0,1.9,1,49.5396,141.8621,12.0246,low
29,36,1,2.7778,70000000000.0,51.5628,106093950617.84,245587848.65,704550080.1,537586860.51,497785702.21,206764377.89,39801158.29,0.7065,0.926,0.2935,0.074,9,6,1,2,0,6.9,15,36.0875,57.9986,14.1924,low
