sample_id,planned_duration_months,total_units,predicted_construction_cost_growth,predicted_general_inflation_rate,predicted_usd_growth,project_payment_completion_ratio,overdue_payment_ratio,paid_late_payment_ratio,low_risk_member_ratio,medium_risk_member_ratio,high_risk_member_ratio,cash_flow_pressure_ratio,predicted_delay_months,delay_risk_level
1,18,24,41.9658,37.0685,30.1561,0.6811,0.1492,0.0812,0.5773,0.3047,0.1179,0.2504,8.36,low
2,24,20,53.4749,35.5739,42.5051,0.5722,0.3237,0.2003,0.3229,0.4629,0.2142,0.3939,23.38,medium
3,18,20,38.9841,42.9061,42.346,0.7141,0.1596,0.1821,0.4698,0.3769,0.1533,0.2136,9.88,low
4,42,20,48.1936,40.4117,49.9343,0.4957,0.1561,0.332,0.3543,0.2856,0.3602,0.4158,19.57,medium
5,30,24,37.216,32.8398,40.0531,0.7861,0.1796,0.22,0.6403,0.1821,0.1775,0.2518,9.87,low
6,36,80,81.8691,56.615,72.4592,0.3691,0.8026,0.4792,0.206,0.1489,0.6451,0.7159,120.0,critical
7,18,12,33.0847,35.2946,13.9872,0.8237,0.0122,0.0189,0.8093,0.1372,0.0536,0.0992,4.73,acceptable_delay
8,36,48,57.1979,49.212,57.885,0.5865,0.1536,0.1821,0.4539,0.3876,0.1585,0.3466,19.51,medium
9,36,48,43.6384,50.045,61.7968,0.5099,0.3457,0.219,0.1074,0.5671,0.3255,0.4901,22.2,medium
10,30,60,77.1604,46.9725,52.9416,0.3055,0.5326,0.4589,0.2363,0.2542,0.5095,0.7142,51.27,high
11,36,24,32.903,41.3136,25.2373,0.8654,0.1139,0.1953,0.4811,0.3439,0.175,0.1002,11.69,low
12,24,16,28.355,29.1333,24.9569,0.8732,0.0044,0.1347,0.7996,0.124,0.0764,0.0583,3.22,acceptable_delay
13,42,60,73.7987,42.4021,55.9268,0.2828,0.5041,0.4019,0.0,0.4347,0.6746,0.65,52.44,high
14,42,20,62.5398,50.6433,51.12,0.5216,0.2415,0.3902,0.3432,0.3218,0.335,0.4533,16.49,medium
15,48,48,77.5875,57.3957,64.7946,0.4385,0.5818,0.5632,0.0,0.4486,0.6034,0.5871,60.0,high
16,30,24,46.5881,45.2977,37.7244,0.5798,0.3587,0.2529,0.5077,0.2941,0.1982,0.331,23.37,medium
17,24,30,37.3293,37.6619,33.7933,0.8715,0.0817,0.1403,0.6692,0.2314,0.0993,0.1019,7.57,low
18,36,48,85.1778,51.0096,91.7345,0.1074,0.7097,0.3511,0.205,0.1114,0.6836,0.8148,84.14,critical
19,30,20,31.9262,27.7156,15.9978,0.8531,0.043,0.0361,0.789,0.1929,0.018,0.0766,2.04,acceptable_delay
20,30,20,43.5443,37.6014,58.7573,0.6048,0.2019,0.2049,0.4126,0.4317,0.1557,0.316,23.47,medium
21,24,12,25.919,33.4303,24.9161,0.9241,0.0036,0.0517,0.776,0.2189,0.0051,0.1344,1.64,acceptable_delay
22,18,16,46.6062,36.4758,25.535,0.7158,0.1326,0.1356,0.5811,0.3296,0.0894,0.2759,10.48,low
23,30,48,47.6337,50.4575,53.2008,0.6398,0.2772,0.371,0.456,0.3154,0.2286,0.3327,18.36,medium
24,36,48,78.0115,42.3896,74.6519,0.3363,0.5293,0.3473,0.2449,0.2669,0.4882,0.6678,38.74,high
25,24,30,49.0133,41.3658,42.9375,0.4867,0.18,0.3681,0.1919,0.561,0.247,0.3761,16.0,medium
26,42,36,73.0071,70.8489,101.9531,0.3459,0.813,0.5856,0.0597,0.0756,0.8647,0.7204,95.73,critical
27,24,24,25.0246,27.2549,26.5761,0.962,0.0462,0.1137,0.8662,0.1157,0.018,0.1094,1.0,acceptable_delay
28,42,20,57.6667,45.9879,60.8922,0.5327,0.1612,0.1886,0.489,0.2998,0.2112,0.3112,16.12,medium
29,30,16,30.2593,33.2674,37.4112,0.8362,0.1644,0.2211,0.4824,0.3491,0.1685,0.2154,10.73,low
30,30,16,48.6631,37.6788,32.5154,0.6813,0.1367,0.1265,0.6364,0.2909,0.0727,0.2667,11.39,low
31,42,60,91.9026,51.4843,80.5504,0.2867,0.5674,0.5611,0.1387,0.1511,0.7102,0.7117,117.7,critical
32,36,60,65.2495,54.6539,76.0678,0.5098,0.4836,0.5725,0.0,0.4027,0.6431,0.5266,56.78,high
33,24,24,33.2662,33.5447,33.3903,0.8624,0.1027,0.1293,0.4764,0.4047,0.1188,0.1563,9.88,low
34,30,20,23.2033,35.8695,10.6216,0.8928,0.0362,0.1122,0.8622,0.1178,0.02,0.1454,1.0,acceptable_delay
35,30,24,32.5992,33.8506,11.1581,0.8355,0.0348,0.068,0.8625,0.0888,0.0487,0.172,3.72,acceptable_delay
