year,month,date,general_inflation_rate,cpi_index,cpi_yoy_growth_from_index,housing_cpi_index,housing_cpi_growth,producer_price_index,producer_price_yoy_growth,construction_cost_growth,interest_rate,usd_rate_toman,usd_rate_irr,usd_growth,transaction_volume,transaction_volume_growth,avg_price_per_sqm_million_irr,housing_growth_rate,source,notes
2021,3,2021-03-01,48.7,,,,,346.7,,,,24500.0,245000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; weekly values averaged to Gregorian month; values entered in thousand toman
2021,4,2021-04-01,49.5,,,,,380.8,,,18.0,23250.0,232500.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,5,2021-05-01,46.9,,,,,380.8,,,18.0,23400.0,234000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,6,2021-06-01,48.8,,,,,380.8,,,18.0,25000.0,250000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,7,2021-07-01,44.3,90.0,,,,419.4,,,18.0,26300.0,263000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,8,2021-08-01,43.7,92.9,,,,419.4,,,18.0,27200.0,272000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,9,2021-09-01,43.9,95.7,,,,419.4,,,18.0,27750.0,277500.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,10,2021-10-01,38.7,99.2,,,,468.5,,,18.0,29520.0,295200.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,11,2021-11-01,34.6,102.4,,,,468.5,,,18.0,27300.0,273000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2021,12,2021-12-01,34.2,104.5,,,,468.5,,,18.0,26000.0,260000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,1,2022-01-01,35.2,106.3,,,,515.3,,,18.0,27700.0,277000.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,2,2022-02-01,34.6,109.1,,,,515.3,,,18.0,29750.0,297500.0,,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,3,2022-03-01,34.3,111.3,,,,515.3,48.6299,48.6299,18.0,31425.0,314250.0,28.2653,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,4,2022-04-01,32.9,113.0,,,,540.8,42.0168,42.0168,18.0,31550.0,315500.0,35.6989,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,5,2022-05-01,36.1,116.1,,,,540.8,42.0168,42.0168,18.0,30420.0,304200.0,30.0,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,6,2022-06-01,47.5,120.0,,,,540.8,42.0168,42.0168,18.0,33175.0,331750.0,32.7,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
